idx,cleaned_text,prediction,Text
0,premise,5.483609190966846e-06,premise
1,bax casey rachel isaiah kelly kelly and colombian high school of the others an application of the name from boxes to sign zed what to go will which by to year first your life lost january,5.53986008852197e-06,بکس، کیسی، راہیل، یسعیاہ، کیلی، کیلی، اور کولمبین ہائی اسکول کے دوسرے طلبا کے نام سے بکسوں کو نشان زد کیا جائے گا جس نے اس سال پہلے اپنی زندگی کھو دی
2,this he is what done advised us to .,6.144079607226667e-05,هذا هو ما تم نصحنا به.
3,it cell est in grade parties of a fact que les mothers present de la drogue,5.468365311780306e-06,et cela est en grande partie dû au fait que les mères prennent de la drogue
4,dialogue with representatives of the city and other citizens and community organizations on the artistic development of mia & amp,5.504850956819254e-06,与城市及其他公民及社区组织代表就IMA的艺术发展进行对话&amp
5,it all yet was there .,0.001031874736857943,Она все еще была там.
6,his family had lost a son and a daughter now .,0.015619786199076608,His family had lost a son and a daughter now.
7,"steps are initiated to allow program board membership to reflect the client eligible community and include representatives from the funding community , corporations and other partners .",5.520628296606862e-06,"Steps are initiated to allow program board membership to reflect the clienteligible community and include representatives from the funding community, corporations and other partners."
8,"it was probable end la first chose done be me souvenirs de a petite enhance , it in particular a suet ofa stupidity .",0.0001860055000915826,"C'était probablement la première chose dont je me souvenais de ma petite enfance, et en particulier au sujet d'une bêtise."
9,"agencies ' operating trust , enterprise and internal service funds ) are required to produce suitable financial statements .",2.3887127503485905e-05,"agencies' operating trust, enterprise and internal service funds) are required to produce auditable financial statements."
10,sauna a lieu a wal spoke end a .,0.000412856948735762,Hakuna aliyejua walipokwenda.
11,how long has he been in his present position,5.475916701006538e-06,how long has he been in his present position
12,in fact habit element plus de temps pour to elaborate be plan action .,0.0005247755952845201,Il faut habituellement plus de temps pour élaborer le plan d'action.
13,research and development is composed of,5.498507576344413e-06,Research and development is composed of
14,then i considered .,0.008658782005604963,Then I considered.
15,"a to to to or just addicted , probably , not will be labour translate then , what я only what wrote , с computer jargon и to to to on more habitual english .",1.5864818674012936e-05,"Хакерам или просто увлекающимся, вероятно, не составит труда перевести то, что я только что написал, с компьютерного жаргона и сленга на более привычный английский."
16,"yes , sir .",1.3229757066805174e-05,"Yes, sir."
17,it vibrated under his hand .,0.0008240760601533308,It vibrated under his hand.
18,time reports that harder denies having known she was . ),5.449826022349052e-06,Time reports that Harrer denies having known she was.)
19,"managing better requires that agencies have , and rely upon , sound financial and program information .",1.4132440447092558e-05,"Managing better requires that agencies have, and rely upon, sound financial and program information."
